symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;cnpj;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
GOLLC10;GOL PN, R$ 10.00, 21-03-2025;0;0;0;0;0;0;0;0;0;CALL;2025-03-21;AMERICAN;10;100;BOVESPA;2024-06-22T10:18:38.985Z;2024-06-22T10:18:38.985Z;0;1.02;BRGOLL4C0943;7;False;2025-03-20;189;06164253000187;;0;0;1719244126000;CALL;1715112900000;10;UPGRADE REQUIRED!!!
GOLLO10;GOL PN, R$ 10.00, 21-03-2025;0;0;0;0;0;0;0;0;0;PUT;2025-03-21;EUROPEAN;10;100;BOVESPA;2024-06-22T10:18:38.964Z;2024-06-22T10:18:38.964Z;0;1.02;BRGOLL4O0915;7;False;2025-03-20;189;06164253000187;;0;0;1719234000000;PUT;1676403337000;10;UPGRADE REQUIRED!!!
GOLLC12;GOL PN, R$ 12.00, 21-03-2025;0;0;0;0;0;0;0;0;0;CALL;2025-03-21;AMERICAN;12;100;BOVESPA;2024-06-22T10:18:38.985Z;2024-06-22T10:18:38.985Z;0;1.02;BRGOLL4C0935;7;False;2025-03-20;189;06164253000187;;0;0;1719244126000;CALL;1717013700000;12;UPGRADE REQUIRED!!!
GOLLO12;GOL PN, R$ 12.00, 21-03-2025;0;0;0;0;0;0;0;0;0;PUT;2025-03-21;EUROPEAN;12;100;BOVESPA;2024-06-22T10:18:38.964Z;2024-06-22T10:18:38.964Z;0;1.02;BRGOLL4O0949;7;False;2025-03-20;189;06164253000187;;0;0;1719234000000;PUT;1675706219000;12;UPGRADE REQUIRED!!!
GOLLE100;GOL PN, R$ 10.00, 16-05-2025;0;0;0;0;0;0;0;0;0;CALL;2025-05-16;AMERICAN;10;100;BOVESPA;2024-06-22T10:18:38.929Z;2024-06-22T10:18:38.929Z;0;1.02;BRGOLL4E0867;7;False;2025-05-15;226;06164253000187;;0;0;1719244126000;CALL;1696259124000;10;UPGRADE REQUIRED!!!
GOLLQ100;GOL PN, R$ 10.00, 16-05-2025;0;0;0;0;0;0;0;0;0;PUT;2025-05-16;EUROPEAN;10;100;BOVESPA;2024-06-22T10:18:38.406Z;2024-06-22T10:18:38.406Z;0;1.02;BRGOLL4Q0830;7;False;2025-05-15;226;06164253000187;;0;0;1719234000000;PUT;1675778745000;10;UPGRADE REQUIRED!!!
GOLLE110;GOL PN, R$ 11.00, 16-05-2025;0;0;0;0;0;0;0;0;0;CALL;2025-05-16;AMERICAN;11;100;BOVESPA;2024-06-22T10:18:38.876Z;2024-06-22T10:18:38.876Z;0;1.02;BRGOLL4E0859;7;False;2025-05-15;226;06164253000187;;0;0;1719244126000;CALL;1714071053000;11;UPGRADE REQUIRED!!!
GOLLQ110;GOL PN, R$ 11.00, 16-05-2025;0;0;0;0;0;0;0;0;0;PUT;2025-05-16;EUROPEAN;11;100;BOVESPA;2024-06-22T10:18:38.405Z;2024-06-22T10:18:38.405Z;0;1.02;BRGOLL4Q0814;7;False;2025-05-15;226;06164253000187;;0;0;1719234000000;PUT;1679674102000;11;UPGRADE REQUIRED!!!
GOLLE12;GOL PN, R$ 12.00, 16-05-2025;0;0;0;0;0;0;0;0;0;CALL;2025-05-16;AMERICAN;0;100;BOVESPA;2024-01-31T09:31:57.642Z;2024-01-31T09:31:57.642Z;0;2.87;BRGOLL4E0842;7;False;2025-05-15;226;06164253000187;;0;0;1719216323000;CALL;1678394215000;12;UPGRADE REQUIRED!!!
GOLLQ12;GOL PN, R$ 12.00, 16-05-2025;0;0;0;0;0;0;0;0;0;PUT;2025-05-16;EUROPEAN;0;100;BOVESPA;2024-01-31T09:31:57.147Z;2024-01-31T09:31:57.147Z;0;2.87;BRGOLL4Q0822;7;False;2025-05-15;226;06164253000187;;0;0;1719216323000;PUT;1682009155000;12;UPGRADE REQUIRED!!!
GOLLE13;GOL PN, R$ 13.00, 16-05-2025;0;0;0;0;0;0;0;0;0;CALL;2025-05-16;AMERICAN;13;100;BOVESPA;2024-06-22T10:18:38.981Z;2024-06-22T10:18:38.981Z;0;1.02;BRGOLL4E0875;7;False;2025-05-15;226;06164253000187;;0;0;1719244126000;CALL;1706898950000;13;UPGRADE REQUIRED!!!
GOLLQ13;GOL PN, R$ 13.00, 16-05-2025;0;0;0;0;0;0;0;0;0;PUT;2025-05-16;EUROPEAN;13;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;0;1.02;BRGOLL4Q0806;7;False;2025-05-15;226;06164253000187;;0;0;1719244961000;PUT;1686684137000;13;UPGRADE REQUIRED!!!
