symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;lastUpdatedDividendsAt
BRKMS185;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G87;False;EUROPEAN;BRASKEM PNA, R$ 18.50, 19-07-2024;18.5;2024-06-22T10:18:38.922Z;0.97;2024-06-22T10:18:38.922Z;2027;1.02;0.97;1.02;-19.835;2000;42150391000170;1.06;1.01;;7;18.01;0;100;700;1719245157000;PUT;1719241851000;18.5;;
BRKMG190;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FW0;True;AMERICAN;BRASKEM PNA, R$ 19.00, 19-07-2024;19.0;2024-06-22T10:18:38.372Z;0.41;2024-06-22T10:18:38.372Z;16774;0.5;0.41;0.43;-19.608;37600;42150391000170;0.4;0.38;;7;17.95;0;4900;100;1719245015000;CALL;1719242553000;19.0;;
BRKMS190;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FV8;False;EUROPEAN;BRASKEM PNA, R$ 19.00, 19-07-2024;19.0;2024-06-22T10:18:38.923Z;1.39;2024-06-22T10:18:38.923Z;6844;1.39;1.28;1.28;8.594;5100;42150391000170;1.39;1.34;;7;17.95;0;100;600;1719245157000;PUT;1719245157000;19.0;;
BRKMG195;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GQ0;False;AMERICAN;BRASKEM PNA, R$ 19.50, 19-07-2024;19.5;2024-06-22T10:18:38.372Z;0.28;2024-06-22T10:18:38.372Z;3588;0.36;0.28;0.36;-22.222;10800;;0.36;0.22;;7;17.86;0;3000;200;1719244082000;CALL;1719239196000;19.5;;
BRKMS195;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GP8;False;EUROPEAN;BRASKEM PNA, R$ 19.50, 19-07-2024;19.5;2024-06-22T10:18:38.923Z;1.48;2024-06-22T10:18:38.923Z;0;0.0;0.0;0.0;0.0;0;;0.0;1.5;;7;17.95;0;2000;0;1719244082000;PUT;1718909706000;19.5;;
BRKMG200;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G25;False;AMERICAN;BRASKEM PNA, R$ 20.00, 19-07-2024;20.0;2024-06-22T10:18:38.370Z;0.22;2024-06-22T10:18:38.370Z;3032;0.24;0.18;0.23;-4.348;13800;42150391000170;0.21;0.18;;7;18.01;0;3000;3000;1719244329000;CALL;1719241870000;20.0;;
BRKMS200;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FT2;False;EUROPEAN;BRASKEM PNA, R$ 20.00, 19-07-2024;20.0;2024-06-22T10:18:38.921Z;2.2;2024-06-22T10:18:38.921Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1719216325000;20.0;;
BRKMG205;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GM9;False;AMERICAN;BRASKEM PNA, R$ 20.50, 19-07-2024;20.5;2024-06-22T10:18:38.370Z;0.14;2024-06-22T10:18:38.370Z;4848;0.2;0.14;0.2;-26.316;31200;42150391000170;0.16;0.13;;7;17.85;0;1000;2700;1719244874000;CALL;1719244234000;20.5;;
BRKMS205;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GH5;False;EUROPEAN;BRASKEM PNA, R$ 20.50, 19-07-2024;20.5;2024-06-22T10:18:38.921Z;2.53;2024-06-22T10:18:38.921Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.6;;7;17.95;0;500;0;1719244079000;PUT;1718911938000;20.5;;
BRKMG207;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GV0;False;EUROPEAN;BRASKEM PNA, R$ 20.75, 19-07-2024;20.75;2024-06-22T10:18:38.370Z;0.11;2024-06-22T10:18:38.370Z;22;0.11;0.11;0.11;-31.25;200;;0.2;0.06;;7;17.95;0;2700;2700;1719244884000;CALL;1719244884000;20.75;;
