symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
SBSPS795;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CT5;False;EUROPEAN;SABESP ON, R$ 78.28, 19-07-2024;78.28;2024-06-22T10:18:38.348Z;4.06;2024-06-22T10:18:38.348Z;406;4.06;4.06;4.06;-12.121;100;5.48;2.94;;7;76.5;0;;;100;3100;1719245150000;PUT;1719235232000;78.28;
SBSPG800;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BW5;False;EUROPEAN;SABESP ON, R$ 78.78, 19-07-2024;78.78;2024-06-22T10:18:38.842Z;2.62;2024-06-22T10:18:38.842Z;28070;2.62;2.22;2.24;37.173;12400;2.69;2.57;;7;77.07;0;43776517000180;2024-04-27T01:30:23.769Z;500;3100;1719245074000;CALL;1719242515000;78.78;
SBSPS800;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BW1;False;EUROPEAN;SABESP ON, R$ 78.78, 19-07-2024;78.78;2024-06-22T10:18:38.358Z;5.5;2024-06-22T10:18:38.358Z;0;0.0;0.0;0.0;0.0;0;5.75;1.91;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;3100;3100;1719245315000;PUT;1719216365000;78.78;
SBSPG805;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CE1;False;AMERICAN;SABESP ON, R$ 79.28, 19-07-2024;79.28;2024-06-22T10:18:38.841Z;2.27;2024-06-22T10:18:38.841Z;7078;2.41;2.02;2.3;34.32;3200;2.48;2.35;;7;74.85;0;;;500;500;1719244867000;CALL;1719239329000;79.28;
SBSPS805;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CD9;False;EUROPEAN;SABESP ON, R$ 79.28, 19-07-2024;79.28;2024-06-22T10:18:38.358Z;0.0;2024-06-22T10:18:38.358Z;0;0.0;0.0;0.0;0.0;0;6.03;2.11;;7;74.85;0;;;3100;3100;1719243028000;PUT;1714054417000;79.28;
SBSPG810;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BR5;False;EUROPEAN;SABESP ON, R$ 79.78, 19-07-2024;79.78;2024-06-22T10:18:38.841Z;2.07;2024-06-22T10:18:38.841Z;414;2.07;2.07;2.07;28.571;200;2.27;2.15;;7;77.06;0;43776517000180;2024-04-27T01:30:23.769Z;600;600;1719244862000;CALL;1719242505000;79.78;
SBSPS810;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BR1;False;EUROPEAN;SABESP ON, R$ 79.78, 19-07-2024;79.78;2024-06-22T10:18:38.356Z;5.3;2024-06-22T10:18:38.356Z;0;0.0;0.0;0.0;0.0;0;6.33;2.4;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;500;3100;1719243028000;PUT;1718641096000;79.78;
SBSPG815;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BZ8;False;AMERICAN;SABESP ON, R$ 80.28, 19-07-2024;80.28;2024-06-22T10:18:38.841Z;2.03;2024-06-22T10:18:38.841Z;21158;2.07;1.77;1.9;30.968;11500;2.08;1.97;;7;74.85;0;;;600;600;1719245270000;CALL;1719242500000;80.28;
SBSPS815;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BZ4;False;EUROPEAN;SABESP ON, R$ 80.28, 19-07-2024;80.28;2024-06-22T10:18:38.356Z;9.0;2024-06-22T10:18:38.356Z;0;0.0;0.0;0.0;0.0;0;6.63;2.59;;7;74.85;0;;;3100;3100;1719243028000;PUT;1718906605000;80.28;
SBSPG825;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0C22;False;AMERICAN;SABESP ON, R$ 81.28, 19-07-2024;81.28;2024-06-22T10:18:38.841Z;1.7;2024-06-22T10:18:38.841Z;338;1.7;1.68;1.68;37.097;200;1.7;1.63;;7;77.21;0;;;700;100;1719245270000;CALL;1719243026000;81.28;
