symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning;quotation_form
BBASR330W4;BRASIL ON, R$ 32.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;32.42;100;BOVESPA;2024-06-22T10:18:38.771Z;2024-06-22T10:18:38.771Z;0.0;26.61;BRBBAS3R10M6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;32.42;;;
BBASF335W4;BRASIL ON, R$ 32.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;32.92;100;BOVESPA;2024-06-22T10:18:38.859Z;2024-06-22T10:18:38.859Z;0.0;26.61;BRBBAS3F10J7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;32.92;;;
BBASR335W4;BRASIL ON, R$ 32.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;32.92;100;BOVESPA;2024-06-22T10:18:38.800Z;2024-06-22T10:18:38.800Z;0.0;26.61;BRBBAS3R10H6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;32.92;;;
BBASF340W4;BRASIL ON, R$ 33.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;33.42;100;BOVESPA;2024-06-22T10:18:38.896Z;2024-06-22T10:18:38.896Z;0.0;26.61;BRBBAS3F10R0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;33.42;;;
BBASR340W4;BRASIL ON, R$ 33.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;33.42;100;BOVESPA;2024-06-22T10:18:38.902Z;2024-06-22T10:18:38.902Z;0.0;26.61;BRBBAS3R11B7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;33.42;;;
BBASF345W4;BRASIL ON, R$ 33.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;33.92;100;BOVESPA;2024-06-22T10:18:39.000Z;2024-06-22T10:18:39.000Z;0.0;26.61;BRBBAS3F11A4;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;33.92;;;
BBASR345W4;BRASIL ON, R$ 33.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;33.92;100;BOVESPA;2024-06-22T10:18:38.910Z;2024-06-22T10:18:38.910Z;0.0;26.61;BRBBAS3R1180;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;33.92;;;
BBASF350W4;BRASIL ON, R$ 34.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;34.42;100;BOVESPA;2024-06-22T10:18:38.351Z;2024-06-22T10:18:38.351Z;0.0;26.61;BRBBAS3F10Y6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;34.42;;;
BBASR350W4;BRASIL ON, R$ 34.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;34.42;100;BOVESPA;2024-06-22T10:18:38.276Z;2024-06-22T10:18:38.276Z;0.0;26.61;BRBBAS3R10J2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;34.42;;;
BBASF355W4;BRASIL ON, R$ 34.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;34.92;100;BOVESPA;2024-06-22T10:18:38.297Z;2024-06-22T10:18:38.297Z;0.0;26.61;BRBBAS3F10K5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;34.92;;;
BBASR355W4;BRASIL ON, R$ 34.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;34.92;100;BOVESPA;2024-06-22T10:18:38.354Z;2024-06-22T10:18:38.354Z;0.0;26.61;BRBBAS3R11A9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;34.92;;;
BBASF360W4;BRASIL ON, R$ 35.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;35.42;100;BOVESPA;2024-06-22T10:18:38.587Z;2024-06-22T10:18:38.587Z;0.0;26.61;BRBBAS3F11F3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;35.42;;;
BBASR360W4;BRASIL ON, R$ 35.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;35.42;100;BOVESPA;2024-06-22T10:18:38.695Z;2024-06-22T10:18:38.695Z;0.0;26.61;BRBBAS3R10T1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;35.42;;;
BBASF380W4;BRASIL ON, R$ 37.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;37.42;100;BOVESPA;2024-06-22T10:18:38.926Z;2024-06-22T10:18:38.926Z;0.0;26.61;BRBBAS3F10Q2;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;37.42;;;
BBASR380W4;BRASIL ON, R$ 37.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;37.42;100;BOVESPA;2024-06-22T10:18:38.982Z;2024-06-22T10:18:38.982Z;0.0;26.61;BRBBAS3R1164;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;37.42;;;
