symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
CPLES86;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C06;False;EUROPEAN;COPEL PNB, R$ 8.55, 19-07-2024;8.55;2024-06-22T10:18:38.589Z;0.03;2024-06-22T10:18:38.589Z;0;0.0;0.0;0.0;0.0;0;0.03;0.0;;7;9.21;0;;;0;126900;1719244870000;PUT;1719216329000;8.55;;
CPLEG880;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BN4;False;AMERICAN;COPEL PNB, R$ 8.75, 19-07-2024;8.75;2024-06-22T10:18:38.793Z;0.53;2024-06-22T10:18:38.793Z;0;0.0;0.0;0.0;0.0;0;0.7;0.48;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;500;500;1719245319000;CALL;1719216327000;8.75;;
CPLES880;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BE9;True;EUROPEAN;COPEL PNB, R$ 8.75, 19-07-2024;8.75;2024-06-22T10:18:38.417Z;0.03;2024-06-22T10:18:38.417Z;339909;0.04;0.03;0.03;-57.143;8510100;0.05;0.03;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;87100;87100;1719245097000;PUT;1719242844000;8.75;;
CPLEG90;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C43;True;AMERICAN;COPEL PNB, R$ 8.95, 19-07-2024;8.95;2024-06-22T10:18:38.699Z;0.5;2024-06-22T10:18:38.699Z;250;0.5;0.5;0.5;28.205;500;0.0;0.0;;7;9.32;0;;;0;0;1719236220000;CALL;1719236220000;8.95;;
CPLES90;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C14;True;EUROPEAN;COPEL PNB, R$ 8.95, 19-07-2024;8.95;2024-06-22T10:18:38.589Z;0.07;2024-06-22T10:18:38.589Z;125;0.07;0.06;0.07;-36.364;1800;0.08;0.07;;7;9.21;0;;;29200;26800;1719245002000;PUT;1719245002000;8.95;;
CPLEG920;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BD5;True;AMERICAN;COPEL PNB, R$ 9.15, 19-07-2024;9.15;2024-06-22T10:18:38.789Z;0.34;2024-06-22T10:18:38.789Z;6624;0.4;0.32;0.32;30.769;19500;0.35;0.33;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;30000;30000;1719245319000;CALL;1719244892000;9.15;;
CPLES920;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BH2;True;EUROPEAN;COPEL PNB, R$ 9.15, 19-07-2024;9.15;2024-06-22T10:18:38.415Z;0.13;2024-06-22T10:18:38.415Z;3152;0.14;0.11;0.12;-35.0;25700;0.14;0.12;;7;9.29;0;76483817000120;2024-04-24T01:30:42.060Z;26600;26600;1719244863000;PUT;1719243709000;9.15;;
CPLEG94;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BY1;True;AMERICAN;COPEL PNB, R$ 9.35, 19-07-2024;9.35;2024-06-22T10:18:38.699Z;0.22;2024-06-22T10:18:38.699Z;4524;0.27;0.22;0.25;29.412;17700;0.23;0.21;;7;9.21;0;;;26600;1300;1719245184000;CALL;1719245165000;9.35;;
CPLES94;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BT7;True;EUROPEAN;COPEL PNB, R$ 9.35, 19-07-2024;9.35;2024-06-22T10:18:38.589Z;0.22;2024-06-22T10:18:38.589Z;12516;0.22;0.18;0.18;-21.429;63300;0.22;0.2;;7;9.3;0;;;26600;1400;1719245289000;PUT;1719245002000;9.35;;
CPLEG960;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BH6;True;AMERICAN;COPEL PNB, R$ 9.55, 19-07-2024;9.55;2024-06-22T10:18:38.790Z;0.13;2024-06-22T10:18:38.790Z;1926;0.18;0.12;0.12;18.182;12800;0.15;0.13;;7;9.28;0;76483817000120;2024-04-24T01:30:42.060Z;27500;30000;1719245212000;CALL;1719245212000;9.55;;
CPLES960;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BM2;False;EUROPEAN;COPEL PNB, R$ 9.55, 19-07-2024;9.55;2024-06-22T10:18:38.414Z;0.34;2024-06-22T10:18:38.414Z;3162;0.41;0.16;0.41;-19.048;9900;0.53;0.02;;7;9.28;0;76483817000120;2024-04-24T01:30:42.060Z;100;26600;1719244080000;PUT;1719235420000;9.55;;
