symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;quotation_form;warning
ABEVF165W4;AMBEV S/A ON, R$ 16.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;16.5;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;0.0;11.28;BRABEV3F0FJ0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;16.5;;;
ABEVR165W4;AMBEV S/A ON, R$ 16.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;16.5;100;BOVESPA;2024-06-22T10:18:38.294Z;2024-06-22T10:18:38.294Z;0.0;11.28;BRABEV3R0FE7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;16.5;;;
ABEVF170W4;AMBEV S/A ON, R$ 17.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;17.0;100;BOVESPA;2024-06-22T10:18:38.587Z;2024-06-22T10:18:38.587Z;0.0;11.28;BRABEV3F0FS1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;17.0;;;
ABEVR170W4;AMBEV S/A ON, R$ 17.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;17.0;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;11.28;BRABEV3R0FC1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;17.0;;;
ABEVF175W4;AMBEV S/A ON, R$ 17.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;17.5;100;BOVESPA;2024-06-22T10:18:38.554Z;2024-06-22T10:18:38.554Z;0.0;11.28;BRABEV3F0FK8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;17.5;;;
ABEVR175W4;AMBEV S/A ON, R$ 17.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;17.5;100;BOVESPA;2024-06-22T10:18:38.905Z;2024-06-22T10:18:38.905Z;0.0;11.28;BRABEV3R0FD9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;17.5;;;
ABEVG840W1;AMBEV S/A ON, R$ 8.40, 05-07-2024;0.0;0.0;0.0;3.18;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;8.4;100;BOVESPA;2024-06-22T10:18:38.489Z;2024-06-22T10:18:38.489Z;0.0;11.28;BRABEV3G0F19;7;False;2024-07-04;9;;0;0;1719234000000;CALL;1716997204000;8.4;;;
ABEVS840W1;AMBEV S/A ON, R$ 8.40, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;8.4;100;BOVESPA;2024-06-22T10:18:38.884Z;2024-06-22T10:18:38.884Z;0.0;11.28;BRABEV3S0EW1;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;8.4;;;
ABEVG880W1;AMBEV S/A ON, R$ 8.80, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;8.8;100;BOVESPA;2024-06-22T10:18:38.414Z;2024-06-22T10:18:38.414Z;0.0;11.28;BRABEV3G0EW5;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;8.8;;;
ABEVS880W1;AMBEV S/A ON, R$ 8.80, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;8.8;100;BOVESPA;2024-06-22T10:18:38.504Z;2024-06-22T10:18:38.504Z;0.0;11.28;BRABEV3S0EM2;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;8.8;;;
ABEVG900W1;AMBEV S/A ON, R$ 9.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;9.0;100;BOVESPA;2024-06-22T10:18:38.927Z;2024-06-22T10:18:38.927Z;0.0;11.28;BRABEV3G0EX3;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;9.0;;;
ABEVS900W1;AMBEV S/A ON, R$ 9.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;9.0;100;BOVESPA;2024-06-22T10:18:38.962Z;2024-06-22T10:18:38.962Z;0.0;11.28;BRABEV3S0EI0;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;9.0;;;
ABEVG920W1;AMBEV S/A ON, R$ 9.20, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;9.2;100;BOVESPA;2024-06-22T10:18:38.566Z;2024-06-22T10:18:38.566Z;0.0;11.28;BRABEV3G0ET1;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;9.2;;;
ABEVS920W1;AMBEV S/A ON, R$ 9.20, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;9.2;100;BOVESPA;2024-06-22T10:18:38.641Z;2024-06-22T10:18:38.641Z;0.0;11.28;BRABEV3S0EH2;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;9.2;;;
ABEVG960W1;AMBEV S/A ON, R$ 9.60, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;9.6;100;BOVESPA;2024-06-22T10:18:38.852Z;2024-06-22T10:18:38.852Z;0.0;11.28;BRABEV3G0EK0;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;9.6;;;
ABEVS960W1;AMBEV S/A ON, R$ 9.60, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;9.6;100;BOVESPA;2024-06-22T10:18:38.532Z;2024-06-22T10:18:38.532Z;0.0;11.28;BRABEV3S0EN0;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;9.6;;;
