symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;has_options;warning
VALER760W4;VALE ON, R$ 76.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;76.0;100;BOVESPA;2024-06-22T10:18:38.847Z;2024-06-22T10:18:38.847Z;0.0;60.83;BRVALE3R0P53;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;76.0;;;;;
VALEF770W4;VALE ON, R$ 77.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;77.0;100;BOVESPA;2024-06-22T10:18:38.962Z;2024-06-22T10:18:38.962Z;0.0;60.83;BRVALE3F0OV6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;77.0;;;;;
VALER770W4;VALE ON, R$ 77.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;77.0;100;BOVESPA;2024-06-22T10:18:39.000Z;2024-06-22T10:18:39.000Z;0.0;60.83;BRVALE3R0P61;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;77.0;;;;;
VALEF780W4;VALE ON, R$ 78.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;78.0;100;BOVESPA;2024-06-22T10:18:38.936Z;2024-06-22T10:18:38.936Z;0.0;60.83;BRVALE3F0P58;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;78.0;;;;;
VALER780W4;VALE ON, R$ 78.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;78.0;100;BOVESPA;2024-06-22T10:18:38.415Z;2024-06-22T10:18:38.415Z;0.0;60.83;BRVALE3R0OW0;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;78.0;;;;;
VALEG485W1;VALE ON, R$ 48.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;48.5;100;BOVESPA;2024-06-22T10:18:38.639Z;2024-06-22T10:18:38.639Z;0.0;60.83;BRVALE3G0LV1;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;48.5;;;;;
VALES485W1;VALE ON, R$ 48.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;48.5;100;BOVESPA;2024-06-22T10:18:38.556Z;2024-06-22T10:18:38.556Z;0.0;60.83;BRVALE3S0LY1;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;48.5;;;;;
VALEG490W1;VALE ON, R$ 49.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;49.0;100;BOVESPA;2024-06-22T10:18:38.603Z;2024-06-22T10:18:38.603Z;0.0;60.83;BRVALE3G0LR9;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;49.0;;;;;
VALES490W1;VALE ON, R$ 49.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;49.0;100;BOVESPA;2024-06-22T10:18:38.863Z;2024-06-22T10:18:38.863Z;0.0;60.83;BRVALE3S0M70;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;49.0;;;;;
VALEG500W1;VALE ON, R$ 50.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;50.0;100;BOVESPA;2024-06-22T10:18:38.603Z;2024-06-22T10:18:38.603Z;0.0;60.83;BRVALE3G0LT5;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;50.0;;;;;
