symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning;quotation_form
RENTG442;LOCALIZA ON, R$ 43.92, 19-07-2024;0.79;0.92;0.7;0.7;5000;3999;0;0.74;0.83;CALL;2024-07-19;EUROPEAN;43.92;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;366.667;41.7;BRRENT3G0E78;7;False;2024-07-18;19;;4800;5900;1719245273000;CALL;1719239910000;43.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS442;LOCALIZA ON, R$ 43.92, 19-07-2024;0.0;0.0;0.0;2.55;0;0;0;1.95;2.29;PUT;2024-07-19;EUROPEAN;43.92;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0E65;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719216329000;43.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG445;LOCALIZA ON, R$ 44.17, 19-07-2024;0.71;0.84;0.62;0.66;24700;16947;0;0.66;0.71;CALL;2024-07-19;AMERICAN;44.17;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;22.222;42.31;BRRENT3G0ES6;7;False;2024-07-18;19;;6800;5500;1719245207000;CALL;1719245133000;44.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS445;LOCALIZA ON, R$ 44.17, 19-07-2024;2.05;2.06;2.05;2.06;1000;2056;0;2.07;2.4;PUT;2024-07-19;EUROPEAN;44.17;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;-48.111;41.7;BRRENT3S0F72;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719236593000;44.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG447;LOCALIZA ON, R$ 44.42, 19-07-2024;0.63;0.7;0.6;0.6;5100;3297;0;0.58;0.66;CALL;2024-07-19;EUROPEAN;44.42;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;33.333;41.7;BRRENT3G0E11;7;False;2024-07-18;19;;6800;6800;1719245191000;CALL;1719239326000;44.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS447;LOCALIZA ON, R$ 44.42, 19-07-2024;0.0;0.0;0.0;4.15;0;0;0;2.29;2.63;PUT;2024-07-19;EUROPEAN;44.42;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0DO3;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718909244000;44.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG450;LOCALIZA ON, R$ 44.67, 19-07-2024;0.55;0.64;0.49;0.53;9600;5693;0;0.51;0.59;CALL;2024-07-19;AMERICAN;44.67;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;39.474;42.41;BRRENT3G0E86;7;False;2024-07-18;19;;7000;7000;1719245285000;CALL;1719244730000;44.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS450;LOCALIZA ON, R$ 44.67, 19-07-2024;0.0;0.0;0.0;4.37;0;0;0;2.41;2.81;PUT;2024-07-19;EUROPEAN;44.67;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0E24;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718909257000;44.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG452;LOCALIZA ON, R$ 44.92, 19-07-2024;0.48;0.55;0.48;0.55;22500;11425;0;0.45;0.52;CALL;2024-07-19;EUROPEAN;44.92;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;61.765;41.7;BRRENT3G0E52;7;False;2024-07-18;19;;2000;7000;1719244892000;CALL;1719236230000;44.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS452;LOCALIZA ON, R$ 44.92, 19-07-2024;0.0;0.0;0.0;4.65;0;0;0;2.66;2.98;PUT;2024-07-19;EUROPEAN;44.92;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0E40;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718909202000;44.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG455;LOCALIZA ON, R$ 45.17, 19-07-2024;0.38;0.38;0.38;0.38;4200;1596;0;0.39;0.43;CALL;2024-07-19;AMERICAN;45.17;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;90.0;42.2;BRRENT3G0EH9;7;False;2024-07-18;19;;7100;500;1719245191000;CALL;1719239088000;45.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS455;LOCALIZA ON, R$ 45.17, 19-07-2024;2.76;2.76;2.75;2.75;600;1652;0;2.78;3.15;PUT;2024-07-19;EUROPEAN;45.17;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;-40.217;41.7;BRRENT3S0EM5;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719236772000;45.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG457;LOCALIZA ON, R$ 45.42, 19-07-2024;0.3;0.45;0.3;0.45;1300;540;0;0.34;0.39;CALL;2024-07-19;EUROPEAN;45.42;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;350.0;41.7;BRRENT3G0DS8;7;False;2024-07-18;19;;7000;7000;1719245215000;CALL;1719236333000;45.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS457;LOCALIZA ON, R$ 45.42, 19-07-2024;0.0;0.0;0.0;5.0;0;0;0;3.04;3.36;PUT;2024-07-19;EUROPEAN;45.42;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0DN5;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718730842000;45.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG460;LOCALIZA ON, R$ 45.67, 19-07-2024;0.0;0.0;0.0;0.23;0;0;0;0.29;0.36;CALL;2024-07-19;AMERICAN;45.67;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;0.0;41.7;BRRENT3G0DX8;7;False;2024-07-18;19;;45700;7100;1719244892000;CALL;1719216329000;45.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS460;LOCALIZA ON, R$ 45.67, 19-07-2024;0.0;0.0;0.0;4.98;0;0;0;3.18;3.56;PUT;2024-07-19;EUROPEAN;45.67;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0E99;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718386860000;45.67;16670085000155;2024-04-03T01:30:34.768Z;;
