symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
LRENS138;LOJAS RENNERON, R$ 13.87, 19-07-2024;1.22;1.22;1.16;1.18;74600;89480;0;1.26;1.5;PUT;2024-07-19;EUROPEAN;13.87;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;-10.606;12.53;BRLREN3S0IL5;7;False;2024-07-18;19;;100;100;1719245205000;PUT;1719238431000;13.87;;;
LRENG143;LOJAS RENNERON, R$ 14.37, 19-07-2024;0.1;0.11;0.07;0.07;30900;3244;0;0.07;0.09;CALL;2024-07-19;AMERICAN;14.37;100;BOVESPA;2024-06-22T10:18:38.560Z;2024-06-22T10:18:38.560Z;-12.5;12.53;BRLREN3G0IH7;7;False;2024-07-18;19;;5700;4000;1719244813000;CALL;1719242649000;14.37;;;
LRENS143;LOJAS RENNERON, R$ 14.37, 19-07-2024;1.65;1.65;1.59;1.59;2000;3240;0;1.7;0.0;PUT;2024-07-19;EUROPEAN;14.37;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;-11.667;12.8;BRLREN3S0IP6;7;False;2024-07-18;19;;100;0;1719245205000;PUT;1719236316000;14.37;;;
LRENG150;LOJAS RENNERON, R$ 14.87, 19-07-2024;0.05;0.06;0.05;0.05;69300;4035;0;0.04;0.05;CALL;2024-07-19;AMERICAN;14.87;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;25.0;12.62;BRLREN3G0I98;7;False;2024-07-18;19;;18500;3300;1719245031000;CALL;1719245031000;14.87;92754738000162;2024-03-21T01:30:23.248Z;
LRENS150;LOJAS RENNERON, R$ 14.87, 19-07-2024;0.0;0.0;0.0;2.3;0;0;0;2.16;2.4;PUT;2024-07-19;EUROPEAN;14.87;100;BOVESPA;2024-06-22T10:18:38.336Z;2024-06-22T10:18:38.336Z;0.0;12.53;BRLREN3S0I93;7;False;2024-07-18;19;;100;500;1719245205000;PUT;1719216320000;14.87;92754738000162;2024-03-21T01:30:23.248Z;
LRENG153;LOJAS RENNERON, R$ 15.37, 19-07-2024;0.03;0.04;0.03;0.03;68800;2343;0;0.03;0.04;CALL;2024-07-19;AMERICAN;15.37;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;-25.0;12.53;BRLREN3G0II5;7;False;2024-07-18;19;;23700;300;1719244100000;CALL;1719244100000;15.37;;;
LRENS153;LOJAS RENNERON, R$ 15.37, 19-07-2024;2.5;2.68;2.5;2.68;35100;91014;0;2.65;0.0;PUT;2024-07-19;EUROPEAN;15.37;100;BOVESPA;2024-06-22T10:18:38.336Z;2024-06-22T10:18:38.336Z;-0.741;12.61;BRLREN3S0IH3;7;False;2024-07-18;19;;100;0;1719245205000;PUT;1719244260000;15.37;;;
LRENG160;LOJAS RENNERON, R$ 15.87, 19-07-2024;0.02;0.02;0.02;0.02;1300;26;0;0.02;0.03;CALL;2024-07-19;AMERICAN;15.87;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IA2;7;False;2024-07-18;19;;10000;130800;1719244063000;CALL;1719241703000;15.87;92754738000162;2024-03-21T01:30:23.248Z;
LRENS160;LOJAS RENNERON, R$ 15.87, 19-07-2024;3.1;3.1;3.0;3.1;400;1230;0;3.13;3.29;PUT;2024-07-19;EUROPEAN;15.87;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;-4.615;12.53;BRLREN3S0IA8;7;False;2024-07-18;19;;100;200;1719245205000;PUT;1719240832000;15.87;92754738000162;2024-03-21T01:30:23.248Z;
LRENG163;LOJAS RENNERON, R$ 16.37, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.01;0.02;CALL;2024-07-19;AMERICAN;16.37;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IW6;7;False;2024-07-18;19;;1000;20000;1719244064000;CALL;1719216321000;16.37;;;
