symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;warning
PETRR340W4;PETROBRAS PN, R$ 33.05, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;33.05;100;BOVESPA;2024-06-22T10:18:38.884Z;2024-06-22T10:18:38.884Z;0.0;36.72;BRPETR4R1862;7;False;2024-06-27;4;;0;10000;1719241959000;PUT;1719216333000;33.05;;;;
PETRF333W4;PETROBRAS PN, R$ 33.30, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;33.3;100;BOVESPA;2024-06-22T10:18:38.346Z;2024-06-22T10:18:38.346Z;0.0;36.72;BRPETR4F19Z3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;33.3;;;;
PETRR333W4;PETROBRAS PN, R$ 33.30, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.01;0.03;PUT;2024-06-28;EUROPEAN;33.3;100;BOVESPA;2024-06-22T10:18:38.980Z;2024-06-22T10:18:38.980Z;0.0;36.72;BRPETR4R1AA1;7;False;2024-06-27;4;;500000;500000;1719242812000;PUT;1719216335000;33.3;;;;
PETRF345W4;PETROBRAS PN, R$ 33.55, 28-06-2024;0.0;0.0;0.0;3.22;0;0;0;0.0;3.53;CALL;2024-06-28;AMERICAN;33.55;100;BOVESPA;2024-06-22T10:18:38.893Z;2024-06-22T10:18:38.893Z;0.0;36.72;BRPETR4F18I1;7;False;2024-06-27;4;;0;200;1719245242000;CALL;1718897241000;33.55;;;;
PETRR345W4;PETROBRAS PN, R$ 33.55, 28-06-2024;0.03;0.04;0.03;0.04;10100;403;0;0.01;0.03;PUT;2024-06-28;EUROPEAN;33.55;100;BOVESPA;2024-06-22T10:18:38.901Z;2024-06-22T10:18:38.901Z;-71.429;36.58;BRPETR4R18H8;7;False;2024-06-27;4;;500;3700;1719242741000;PUT;1719241750000;33.55;;;;
PETRF347W4;PETROBRAS PN, R$ 33.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;33.8;100;BOVESPA;2024-06-22T10:18:38.886Z;2024-06-22T10:18:38.886Z;0.0;36.72;BRPETR4F18Y8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;33.8;;;;
PETRR347W4;PETROBRAS PN, R$ 33.80, 28-06-2024;0.0;0.0;0.0;0.05;0;0;0;0.01;0.04;PUT;2024-06-28;EUROPEAN;33.8;100;BOVESPA;2024-06-22T10:18:38.840Z;2024-06-22T10:18:38.840Z;0.0;36.72;BRPETR4R19H6;7;False;2024-06-27;4;;476100;476100;1719242812000;PUT;1719216334000;33.8;;;;
PETRF350W4;PETROBRAS PN, R$ 34.05, 28-06-2024;2.86;2.86;2.65;2.65;400;1090;0;0.0;0.0;CALL;2024-06-28;AMERICAN;34.05;100;BOVESPA;2024-06-22T10:18:38.857Z;2024-06-22T10:18:38.857Z;-4.332;36.6;BRPETR4F18R2;7;False;2024-06-27;4;;0;0;1719240210000;CALL;1719240210000;34.05;;;;
PETRR350W4;PETROBRAS PN, R$ 34.05, 28-06-2024;0.03;0.03;0.03;0.03;100;3;0;0.02;0.05;PUT;2024-06-28;EUROPEAN;34.05;100;BOVESPA;2024-06-22T10:18:38.713Z;2024-06-22T10:18:38.713Z;-40.0;36.72;BRPETR4R1938;7;False;2024-06-27;4;;387900;382500;1719244962000;PUT;1719241497000;34.05;;;;
PETRF352W4;PETROBRAS PN, R$ 34.30, 28-06-2024;0.0;0.0;0.0;2.4;0;0;0;0.13;0.0;CALL;2024-06-28;EUROPEAN;34.3;100;BOVESPA;2024-06-22T10:18:38.727Z;2024-06-22T10:18:38.727Z;0.0;36.72;BRPETR4F19B4;7;False;2024-06-27;4;;100;0;1719234000000;CALL;1718911397000;34.3;;;;
