symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning;quotation_form
BBDCF135W4;BRADESCO PN, R$ 13.14, 28-06-2024;0.01;0.01;0.01;0.01;200;2;0;0.0;0.01;CALL;2024-06-28;AMERICAN;13.14;100;BOVESPA;2024-06-22T10:18:38.686Z;2024-06-22T10:18:38.686Z;-50.0;12.4;BRBBDC4F17P2;7;True;2024-06-27;4;;0;1800;1719243546000;CALL;1719243546000;13.14;;;;
BBDCR135W4;BRADESCO PN, R$ 13.14, 28-06-2024;0.43;0.61;0.43;0.61;6100;3703;0;0.45;0.7;PUT;2024-06-28;EUROPEAN;13.14;100;BOVESPA;2024-06-22T10:18:38.775Z;2024-06-22T10:18:38.775Z;-10.294;12.53;BRBBDC4R1856;7;False;2024-06-27;4;;2700;500;1719240478000;PUT;1719240478000;13.14;;;;
BBDCF140W4;BRADESCO PN, R$ 13.64, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;CALL;2024-06-28;AMERICAN;13.64;100;BOVESPA;2024-06-22T10:18:38.812Z;2024-06-22T10:18:38.812Z;0.0;12.4;BRBBDC4F17W8;7;True;2024-06-27;4;;0;1000;1719235741000;CALL;1718891021000;13.64;;;;
BBDCR140W4;BRADESCO PN, R$ 13.64, 28-06-2024;0.0;0.0;0.0;1.17;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;13.64;100;BOVESPA;2024-06-22T10:18:38.808Z;2024-06-22T10:18:38.808Z;0.0;12.4;BRBBDC4R17O0;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1719216330000;13.64;;;;
BBDCF145W4;BRADESCO PN, R$ 14.14, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.01;CALL;2024-06-28;AMERICAN;14.14;100;BOVESPA;2024-06-22T10:18:38.862Z;2024-06-22T10:18:38.862Z;0.0;12.4;BRBBDC4F17K3;7;True;2024-06-27;4;;0;2000;1719234000000;CALL;1718116834000;14.14;;;;
BBDCR145W4;BRADESCO PN, R$ 14.14, 28-06-2024;0.0;0.0;0.0;1.63;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;14.14;100;BOVESPA;2024-06-22T10:18:38.934Z;2024-06-22T10:18:38.934Z;0.0;12.4;BRBBDC4R1831;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718299650000;14.14;;;;
BBDCF150W4;BRADESCO PN, R$ 14.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;14.64;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;12.4;BRBBDC4F17M9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;14.64;;;;
BBDCR150W4;BRADESCO PN, R$ 14.64, 28-06-2024;0.0;0.0;0.0;2.23;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;14.64;100;BOVESPA;2024-06-22T10:18:38.978Z;2024-06-22T10:18:38.978Z;0.0;12.4;BRBBDC4R17R3;7;False;2024-06-27;4;;0;0;1719244611000;PUT;1719216330000;14.64;;;;
BBDCF155W4;BRADESCO PN, R$ 15.14, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;15.14;100;BOVESPA;2024-06-22T10:18:38.959Z;2024-06-22T10:18:38.959Z;0.0;12.4;BRBBDC4F17L1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;15.14;;;;
BBDCR155W4;BRADESCO PN, R$ 15.14, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;15.14;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;0.0;12.4;BRBBDC4R17S1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;15.14;;;;
