symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
BRFSL16;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0IA2;False;AMERICAN;BRF SA ON, R$ 16.00, 20-12-2024;16.0;2024-06-22T10:18:38.960Z;0.0;2024-06-22T10:18:38.960Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1710789007000;16.0;UPGRADE REQUIRED!!!;
BRFSX16;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0I73;False;EUROPEAN;BRF SA ON, R$ 16.00, 20-12-2024;16.0;2024-06-22T10:18:38.338Z;0.0;2024-06-22T10:18:38.338Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1716999506000;16.0;UPGRADE REQUIRED!!!;
BRFSL165;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0KB6;False;AMERICAN;BRF SA ON, R$ 16.50, 20-12-2024;16.5;2024-06-22T10:18:38.514Z;0.0;2024-06-22T10:18:38.514Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1713194121000;16.5;UPGRADE REQUIRED!!!;
BRFSX165;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0K87;False;EUROPEAN;BRF SA ON, R$ 16.50, 20-12-2024;16.5;2024-06-22T10:18:38.336Z;0.0;2024-06-22T10:18:38.336Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1701783702000;16.5;UPGRADE REQUIRED!!!;
BRFSL175;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0K58;False;AMERICAN;BRF SA ON, R$ 17.50, 20-12-2024;17.5;2024-06-22T10:18:38.514Z;0.0;2024-06-22T10:18:38.514Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1701722303000;17.5;UPGRADE REQUIRED!!!;
BRFSX175;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0KE6;False;EUROPEAN;BRF SA ON, R$ 17.50, 20-12-2024;17.5;2024-06-22T10:18:38.347Z;0.0;2024-06-22T10:18:38.347Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1713370690000;17.5;UPGRADE REQUIRED!!!;
BRFSL179;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0IC8;False;AMERICAN;BRF SA ON, R$ 18.00, 20-12-2024;18.0;2024-06-22T10:18:38.514Z;0.0;2024-06-22T10:18:38.514Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1716817474000;18.0;UPGRADE REQUIRED!!!;
BRFSX179;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0I65;False;EUROPEAN;BRF SA ON, R$ 18.00, 20-12-2024;18.0;2024-06-22T10:18:38.347Z;0.0;2024-06-22T10:18:38.347Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1715355127000;18.0;UPGRADE REQUIRED!!!;
BRFSL190;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0K74;False;AMERICAN;BRF SA ON, R$ 19.00, 20-12-2024;19.0;2024-06-22T10:18:38.513Z;0.0;2024-06-22T10:18:38.513Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1718725244000;19.0;UPGRADE REQUIRED!!!;
BRFSX190;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0KF3;False;EUROPEAN;BRF SA ON, R$ 19.00, 20-12-2024;19.0;2024-06-22T10:18:38.347Z;0.0;2024-06-22T10:18:38.347Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1718911511000;19.0;UPGRADE REQUIRED!!!;
BRFSL199;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0ID6;False;AMERICAN;BRF SA ON, R$ 20.00, 20-12-2024;20.0;2024-06-22T10:18:38.513Z;0.0;2024-06-22T10:18:38.513Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1715888216000;20.0;UPGRADE REQUIRED!!!;
BRFSX199;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0IA8;False;EUROPEAN;BRF SA ON, R$ 20.00, 20-12-2024;20.0;2024-06-22T10:18:38.347Z;0.0;2024-06-22T10:18:38.347Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1686684137000;20.0;UPGRADE REQUIRED!!!;
BRFSL205;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0KA8;False;AMERICAN;BRF SA ON, R$ 20.50, 20-12-2024;20.5;2024-06-22T10:18:38.510Z;0.0;2024-06-22T10:18:38.510Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1716216442000;20.5;UPGRADE REQUIRED!!!;
BRFSX205;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0KA4;False;EUROPEAN;BRF SA ON, R$ 20.50, 20-12-2024;20.5;2024-06-22T10:18:38.362Z;0.0;2024-06-22T10:18:38.362Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719244079000;PUT;1688582413000;20.5;UPGRADE REQUIRED!!!;
BRFSL215;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0K66;False;AMERICAN;BRF SA ON, R$ 21.50, 20-12-2024;21.5;2024-06-22T10:18:38.510Z;0.0;2024-06-22T10:18:38.510Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719244079000;CALL;1717183325000;21.5;UPGRADE REQUIRED!!!;
BRFSX215;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0K53;False;EUROPEAN;BRF SA ON, R$ 21.50, 20-12-2024;21.5;2024-06-22T10:18:38.362Z;0.0;2024-06-22T10:18:38.362Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;21.5;UPGRADE REQUIRED!!!;
